T,K,Type,Market,Spread,Model,Err,IV_Mkt,IV_Model
0.23,6400.0,PUT,82.3,0.4,79.24,-3.06,0.2152,0.2118
0.23,6505.0,PUT,96.95,0.5,95.35,-1.6,0.2038,0.2022
0.23,6615.0,PUT,115.85,0.7,115.57,-0.28,0.192,0.1918
0.23,6715.0,PUT,137.9,0.8,137.56,-0.34,0.1822,0.1819
0.23,6820.0,PUT,164.25,0.9,165.23,0.98,0.1703,0.1711
0.23,6930.0,CALL,216.35,1.3,219.42,3.07,0.1571,0.1595
0.23,7035.0,CALL,155.55,0.9,156.93,1.38,0.1472,0.1483
0.23,7160.0,CALL,96.85,0.9,95.85,-1.0,0.1366,0.1357
0.23,7295.0,CALL,51.05,0.5,50.07,-0.98,0.1262,0.1252
0.23,7410.0,CALL,27.65,0.5,27.18,-0.47,0.1206,0.12
0.23,7555.0,CALL,11.9,0.4,12.49,0.59,0.1166,0.1179
0.23,7830.0,CALL,2.58,0.25,3.04,0.47,0.1178,0.1207
0.271,5575.0,PUT,31.55,0.7,23.32,-8.23,0.2951,0.2755
0.271,5880.0,PUT,46.45,0.5,39.6,-6.85,0.2642,0.2528
0.271,6050.0,PUT,58.2,0.8,52.65,-5.55,0.2472,0.2395
0.271,6210.0,PUT,72.8,1.0,68.46,-4.34,0.2317,0.2266
0.271,6375.0,PUT,92.5,0.6,89.32,-3.18,0.2159,0.2128
0.271,6540.0,PUT,117.85,0.7,116.14,-1.71,0.1997,0.1982
0.271,6645.0,PUT,137.65,1.1,137.13,-0.52,0.189,0.1885
0.271,6750.0,PUT,161.55,1.3,161.93,0.38,0.1783,0.1786
0.271,6860.0,PUT,193.05,0.9,192.97,-0.08,0.1678,0.1678
0.271,6965.0,CALL,221.25,1.5,221.59,0.34,0.1571,0.1573
0.271,7065.0,CALL,164.8,1.6,163.62,-1.18,0.1482,0.1474
0.271,7220.0,CALL,94.75,0.7,91.52,-3.23,0.1359,0.1334
0.271,7380.0,CALL,46.6,1.0,44.15,-2.45,0.1257,0.1232
0.271,7775.0,CALL,6.2,0.4,6.69,0.49,0.1178,0.1194
0.309,5650.0,PUT,41.05,0.5,33.41,-7.64,0.2821,0.2678
0.309,6150.0,PUT,76.85,0.5,72.48,-4.37,0.235,0.2301
0.309,6580.0,PUT,138.1,0.8,136.92,-1.18,0.1952,0.1943
0.309,6750.0,PUT,175.2,1.2,175.73,0.53,0.1786,0.179
0.309,6920.0,CALL,271.2,1.2,271.74,0.54,0.1627,0.1631
0.309,7080.0,CALL,177.7,1.0,176.2,-1.5,0.1491,0.1481
0.309,7525.0,CALL,31.2,0.6,29.63,-1.57,0.1223,0.1204
0.364,5400.0,PUT,38.6,0.4,29.98,-8.62,0.2998,0.2826
0.364,5875.0,PUT,65.7,0.4,59.45,-6.25,0.2567,0.249
0.364,6130.0,PUT,89.35,0.7,84.48,-4.87,0.2348,0.23
0.364,6300.0,PUT,110.0,0.6,106.33,-3.67,0.22,0.2168
0.364,6470.0,PUT,136.25,0.7,133.55,-2.7,0.2053,0.2033
0.364,6630.0,PUT,166.55,0.7,165.42,-1.13,0.1908,0.19
0.364,6800.0,PUT,208.55,0.9,207.91,-0.64,0.1759,0.1755
0.364,6960.0,CALL,276.0,1.2,276.0,0.0,0.1615,0.1615
0.364,7125.0,CALL,182.75,1.1,180.71,-2.04,0.1486,0.1473
0.364,7290.0,CALL,110.2,1.0,106.21,-3.99,0.1373,0.1346
0.364,7575.0,CALL,37.2,0.6,34.75,-2.45,0.1243,0.1216
0.364,8500.0,CALL,1.07,0.25,1.13,0.06,0.1292,0.1299
0.397,5650.0,PUT,55.95,0.5,49.12,-6.83,0.2733,0.2637
0.397,6050.0,PUT,88.5,0.6,83.57,-4.93,0.2399,0.235
0.397,6225.0,PUT,108.45,0.7,104.79,-3.66,0.2251,0.222
0.397,6390.0,PUT,132.2,0.8,129.44,-2.76,0.2114,0.2093
0.397,6525.0,PUT,155.8,1.0,153.75,-2.05,0.2001,0.1987
0.397,6635.0,PUT,177.9,0.8,176.91,-0.99,0.1905,0.1898
0.397,6745.0,PUT,204.45,0.9,203.68,-0.77,0.1813,0.1808
0.397,6845.0,PUT,232.8,1.2,231.74,-1.06,0.1731,0.1725
0.397,6945.0,CALL,300.65,0.9,302.83,2.18,0.1628,0.1641
0.397,7050.0,CALL,237.25,1.1,238.81,1.56,0.1544,0.1553
0.397,7200.0,CALL,160.6,0.8,159.59,-1.01,0.1439,0.1433
0.397,7550.0,CALL,48.95,0.7,46.61,-2.34,0.1259,0.1238
0.444,5275.0,PUT,43.4,0.6,35.26,-8.14,0.3015,0.287
0.444,5750.0,PUT,71.15,0.5,65.16,-5.99,0.2618,0.2549
0.444,6160.0,PUT,111.8,1.0,107.92,-3.88,0.2292,0.226
0.444,6350.0,PUT,138.6,1.0,135.71,-2.89,0.2141,0.212
0.444,6520.0,PUT,168.25,0.9,166.43,-1.82,0.2004,0.1992
0.444,6680.0,PUT,203.5,1.0,201.73,-1.77,0.1879,0.1868
0.444,6850.0,PUT,248.0,1.2,247.95,-0.05,0.1735,0.1734
0.444,7030.0,CALL,275.45,1.7,274.2,-1.25,0.1598,0.1592
0.444,7200.0,CALL,183.75,1.3,181.62,-2.13,0.1474,0.1462
0.444,7375.0,CALL,111.75,1.1,107.99,-3.76,0.1368,0.1345
0.444,7875.0,CALL,18.55,0.7,18.5,-0.05,0.1213,0.1212
0.539,5425.0,PUT,64.3,0.6,57.42,-6.88,0.2818,0.2731
0.539,5925.0,PUT,106.25,0.9,101.05,-5.2,0.2449,0.2405
0.539,6400.0,PUT,173.95,0.9,169.57,-4.38,0.2109,0.2082
0.539,6900.0,CALL,404.8,1.4,403.2,-1.6,0.1735,0.1727
0.539,7400.0,CALL,140.8,1.2,136.88,-3.92,0.1412,0.139
0.539,7900.0,CALL,30.6,0.6,29.12,-1.48,0.1249,0.1233
0.616,5450.0,PUT,76.5,0.6,70.76,-5.74,0.2752,0.269
0.616,5950.0,PUT,124.45,0.7,119.55,-4.9,0.2412,0.2375
0.616,6425.0,PUT,198.7,0.8,193.69,-5.01,0.2096,0.2068
0.616,6925.0,CALL,423.2,1.2,423.12,-0.08,0.1735,0.1735
0.616,7425.0,CALL,160.3,1.0,157.69,-2.61,0.1434,0.1421
0.616,7950.0,CALL,37.6,0.6,35.86,-1.74,0.1267,0.1251
0.649,5575.0,PUT,91.4,0.6,86.21,-5.19,0.2652,0.2604
0.649,6075.0,PUT,148.05,0.7,142.84,-5.21,0.2327,0.2292
0.649,6350.0,PUT,192.45,0.7,187.42,-5.03,0.2147,0.2118
0.649,6450.0,PUT,211.5,0.6,206.8,-4.7,0.2079,0.2054
0.649,6550.0,PUT,232.6,0.6,228.19,-4.41,0.2012,0.1989
0.649,6650.0,PUT,256.1,1.0,251.83,-4.27,0.1946,0.1924
0.649,6750.0,PUT,282.45,0.9,278.01,-4.44,0.1881,0.1859
0.649,6855.0,PUT,311.1,1.0,308.58,-2.52,0.1803,0.1791
0.649,6970.0,CALL,410.8,1.2,409.56,-1.24,0.1722,0.1716
0.649,7070.0,CALL,349.45,1.5,348.62,-0.83,0.1656,0.1652
0.649,7170.0,CALL,313.75,1.3,291.95,-21.8,0.1688,0.1589
0.649,7270.0,CALL,240.8,1.2,240.13,-0.67,0.1531,0.1528
0.649,7450.0,CALL,162.9,0.8,160.85,-2.05,0.1437,0.1426
0.693,5275.0,PUT,74.7,0.8,68.8,-5.9,0.2839,0.2774
0.693,5775.0,PUT,118.5,1.2,113.65,-4.85,0.251,0.2473
0.693,6250.0,PUT,184.9,1.4,179.72,-5.18,0.2212,0.2182
0.693,6750.0,PUT,292.95,1.3,289.52,-3.43,0.1885,0.1869
0.693,7250.0,CALL,269.85,1.7,269.19,-0.66,0.1564,0.1561
0.693,7750.0,CALL,88.0,1.4,84.46,-3.54,0.1345,0.1324
0.789,5300.0,PUT,88.6,1.0,83.53,-5.07,0.2781,0.2733
0.789,5800.0,PUT,138.05,1.3,133.54,-4.51,0.2476,0.2445
0.789,6275.0,PUT,211.05,1.3,205.21,-5.84,0.2199,0.2169
0.789,6775.0,PUT,325.95,1.5,320.86,-5.09,0.1898,0.1876
0.789,7275.0,CALL,299.2,2.0,297.33,-1.87,0.1598,0.159
0.789,7775.0,CALL,108.3,1.4,105.33,-2.97,0.1377,0.1361
0.865,5325.0,PUT,99.35,0.7,95.82,-3.53,0.2733,0.2702
0.865,5825.0,PUT,153.25,0.9,149.93,-3.32,0.2445,0.2424
0.865,6300.0,PUT,230.55,0.9,226.03,-4.52,0.2181,0.2159
0.865,6800.0,PUT,350.2,1.4,346.36,-3.84,0.1896,0.188
0.865,7300.0,CALL,316.3,1.4,317.42,1.12,0.1606,0.161
0.865,7800.0,CALL,122.7,1.2,121.68,-1.02,0.1394,0.1389
0.901,5450.0,PUT,114.05,0.7,112.41,-1.64,0.2639,0.2627
0.901,5900.0,PUT,168.1,0.8,166.33,-1.77,0.2391,0.238
0.901,6095.0,PUT,194.55,0.9,196.33,1.78,0.2264,0.2274
0.901,6235.0,PUT,223.6,0.8,220.94,-2.66,0.221,0.2197
0.901,6435.0,PUT,264.1,1.0,261.3,-2.8,0.21,0.2088
0.901,6590.0,PUT,299.25,0.9,297.46,-1.79,0.2011,0.2003
0.901,6705.0,PUT,328.8,1.2,327.48,-1.32,0.1946,0.194
0.901,6845.0,PUT,368.05,1.1,368.17,0.12,0.1864,0.1864
0.901,6950.0,CALL,530.8,1.4,533.51,2.71,0.1797,0.1808
0.901,7090.0,CALL,445.75,1.5,448.1,2.35,0.1724,0.1733
0.901,7200.0,CALL,381.25,1.5,385.52,4.27,0.166,0.1676
0.901,7315.0,CALL,321.3,1.4,324.86,3.56,0.1604,0.1617
0.901,7475.0,CALL,245.25,1.5,249.46,4.21,0.1523,0.154
0.901,7680.0,CALL,167.25,1.1,169.85,2.6,0.1439,0.1451
0.901,7910.0,CALL,103.9,0.8,104.42,0.52,0.1368,0.1371
0.901,8090.0,CALL,69.65,0.9,69.49,-0.16,0.1328,0.1327
0.942,5175.0,PUT,94.05,1.1,92.64,-1.41,0.2781,0.2769
0.942,5675.0,PUT,143.25,1.3,143.41,0.16,0.2498,0.2499
0.942,6175.0,PUT,218.5,1.4,217.98,-0.52,0.2234,0.2231
0.942,6675.0,PUT,327.55,1.7,328.48,0.93,0.1961,0.1964
0.942,7150.0,CALL,428.1,2.0,431.09,2.99,0.1705,0.1716
0.942,7650.0,CALL,190.9,1.4,194.99,4.09,0.1465,0.1482
0.942,8600.0,CALL,25.1,0.8,25.2,0.1,0.1286,0.1287
1.038,5875.0,PUT,184.25,1.7,185.8,1.55,0.2381,0.2389
1.038,6600.0,PUT,326.1,2.0,329.17,3.07,0.2008,0.202
1.038,7250.0,CALL,407.5,2.2,416.2,8.7,0.167,0.1701
1.038,7950.0,CALL,127.7,1.6,133.07,5.37,0.1393,0.1418
1.114,5525.0,PUT,148.5,1.0,150.46,1.96,0.2549,0.2561
1.114,6050.0,PUT,225.05,1.3,227.17,2.12,0.229,0.23
1.114,6550.0,PUT,328.95,1.5,332.33,3.38,0.2043,0.2056
1.114,7050.0,CALL,551.85,2.3,560.78,8.93,0.1786,0.1818
1.114,7550.0,CALL,287.5,1.6,299.04,11.54,0.1555,0.1596
1.114,8600.0,CALL,41.55,0.7,43.55,2.0,0.1306,0.1322
