T,K,Market,Model,Err,IV_Mkt
0.271,6595.0,507.69,508.25,0.56,0.1917
0.271,6700.0,423.73,425.25,1.52,0.1809
0.271,6800.0,348.23,349.9,1.67,0.171
0.271,6910.0,270.87,272.03,1.16,0.1601
0.271,7010.0,208.3,207.01,-1.29,0.1513
0.271,7125.0,144.9,140.99,-3.91,0.141
0.271,7280.0,80.55,72.22,-8.33,0.1299
0.271,7475.0,32.6,25.84,-6.76,0.1203
0.309,5200.0,1801.56,1808.41,6.84,0.3266
0.309,5875.0,1160.54,1159.31,-1.23,0.2588
0.309,6375.0,712.04,711.3,-0.74,0.2124
0.309,6670.0,468.93,470.17,1.25,0.1845
0.309,6825.0,352.83,354.09,1.26,0.1701
0.309,6990.0,242.5,241.97,-0.53,0.1552
0.309,7250.0,108.65,101.96,-6.69,0.1343
0.309,8100.0,2.53,8.13,5.6,0.1202
0.364,5650.0,1389.37,1389.64,0.27,0.275
0.364,6060.0,1013.75,1011.94,-1.81,0.2391
0.364,6220.0,872.31,870.59,-1.72,0.2254
0.364,6380.0,734.48,733.66,-0.82,0.2112
0.364,6540.0,601.95,602.04,0.09,0.1973
0.364,6710.0,468.5,469.4,0.9,0.1823
0.364,6875.0,349.63,349.68,0.05,0.1684
0.364,7030.0,248.45,247.93,-0.52,0.1547
0.364,7200.0,158.15,152.74,-5.41,0.1423
0.364,7370.0,90.35,81.4,-8.95,0.1315
0.364,7775.0,17.25,15.78,-1.47,0.1186
0.397,5400.0,1634.31,1637.72,3.41,0.2943
0.397,5900.0,1170.7,1169.45,-1.26,0.2511
0.397,6130.0,965.21,963.57,-1.64,0.2319
0.397,6310.0,809.0,808.11,-0.89,0.2166
0.397,6460.0,683.51,683.21,-0.3,0.2042
0.397,6575.0,590.36,590.83,0.47,0.1944
0.397,6685.0,504.85,505.7,0.86,0.1852
0.397,6790.0,426.56,427.86,1.31,0.1762
0.397,6890.0,356.35,357.38,1.03,0.1679
0.397,6995.0,285.45,287.93,2.48,0.158
0.397,7100.0,223.6,224.1,0.5,0.15
0.397,7270.0,140.0,136.04,-3.96,0.1382
0.397,7800.0,19.55,18.13,-1.42,0.1189
0.444,5475.0,1577.6,1580.21,2.61,0.2835
0.444,5975.0,1120.75,1119.7,-1.05,0.2426
0.444,6240.0,889.39,888.36,-1.04,0.2217
0.444,6420.0,738.42,738.03,-0.4,0.2074
0.444,6580.0,609.39,610.12,0.73,0.1944
0.444,6740.0,486.4,488.76,2.36,0.181
0.444,6910.0,366.42,368.74,2.33,0.1675
0.444,7090.0,254.35,254.69,0.34,0.154
0.444,7250.0,171.7,168.32,-3.38,0.1431
0.444,7525.0,74.1,65.8,-8.3,0.1288
0.444,8300.0,4.1,11.96,7.86,0.1201
0.539,5575.0,1514.87,1516.81,1.95,0.2695
0.539,6075.0,1071.56,1069.52,-2.04,0.2335
0.539,6575.0,660.8,660.0,-0.8,0.1971
0.539,7050.0,326.4,328.23,1.83,0.1617
0.539,7550.0,99.55,92.48,-7.07,0.1333
0.539,8400.0,6.3,14.91,8.61,0.1217
0.616,5600.0,1515.28,1517.73,2.45,0.2641
0.616,6100.0,1079.51,1077.5,-2.01,0.2308
0.616,6575.0,695.55,694.68,-0.86,0.1983
0.616,7075.0,347.1,350.57,3.47,0.163
0.616,7575.0,117.55,112.77,-4.78,0.136
0.616,8400.0,10.25,18.02,7.77,0.1225
0.649,5700.0,1436.62,1437.9,1.28,0.2565
0.649,6200.0,1008.55,1006.39,-2.16,0.2239
0.649,6375.0,866.47,864.31,-2.16,0.2124
0.649,6475.0,787.36,785.69,-1.68,0.2056
0.649,6575.0,710.41,709.16,-1.25,0.199
0.649,6670.0,639.74,638.58,-1.16,0.1928
0.649,6770.0,566.43,566.74,0.3,0.1857
0.649,6875.0,493.19,494.31,1.12,0.1786
0.649,6990.0,414.45,418.95,4.5,0.1696
0.649,7095.0,349.75,354.24,4.49,0.1628
0.649,7190.0,301.65,299.52,-2.13,0.1597
0.649,7290.0,243.6,246.36,2.76,0.1511
0.649,7600.0,119.95,116.83,-3.12,0.1361
0.693,5375.0,1740.05,1746.04,5.99,0.2765
0.693,5875.0,1298.0,1298.12,0.12,0.2439
0.693,6375.0,884.0,882.2,-1.81,0.2124
0.693,6850.0,529.29,531.39,2.1,0.1811
0.693,7350.0,234.1,236.44,2.34,0.1502
0.693,7850.0,72.3,67.67,-4.63,0.1307
0.789,5400.0,1743.07,1749.63,6.56,0.2713
0.789,5900.0,1308.58,1308.87,0.29,0.2411
0.789,6400.0,903.1,900.84,-2.25,0.2119
0.789,6875.0,555.47,557.32,1.84,0.1826
0.789,7375.0,262.3,266.23,3.93,0.1535
0.789,7850.0,96.4,93.74,-2.66,0.1346
0.865,5425.0,1741.94,1749.66,7.72,0.2669
0.865,5925.0,1313.09,1314.61,1.52,0.2383
0.865,6400.0,932.54,931.93,-0.61,0.2118
0.865,6900.0,571.44,575.09,3.65,0.1828
0.865,7400.0,279.6,287.6,8.0,0.1546
0.865,7875.0,110.2,110.74,0.54,0.1363
0.901,5600.0,1598.9,1605.48,6.58,0.2553
0.901,5940.0,1311.69,1314.52,2.84,0.2365
0.901,6110.0,1177.13,1174.59,-2.54,0.2295
0.901,6310.0,1014.51,1015.55,1.04,0.2164
0.901,6450.0,906.77,908.26,1.5,0.2085
0.901,6600.0,795.09,797.46,2.38,0.2001
0.901,6730.0,706.43,705.28,-1.15,0.1947
0.901,6850.0,618.12,623.68,5.56,0.1857
0.901,6965.0,539.7,548.94,9.24,0.1782
0.901,7100.0,455.8,465.95,10.15,0.1709
0.901,7210.0,391.55,402.52,10.97,0.1649
0.901,7320.0,331.8,343.24,11.44,0.1591
0.901,7490.0,249.95,260.73,10.78,0.1508
0.901,7680.0,175.45,183.29,7.84,0.1429
0.901,7930.0,104.85,107.93,3.08,0.1352
0.901,8095.0,73.1,74.76,1.66,0.1318
0.942,5200.0,1960.14,1974.4,14.26,0.2765
0.942,5700.0,1524.66,1531.82,7.16,0.2482
0.942,6200.0,1114.18,1117.71,3.53,0.2215
0.942,6675.0,755.15,761.11,5.96,0.1955
0.942,7175.0,429.65,440.37,10.72,0.1685
0.942,7650.0,200.75,210.35,9.6,0.1459
0.942,8600.0,26.85,35.11,8.26,0.1278
1.038,5900.0,1387.88,1395.07,7.19,0.2364
1.038,6600.0,845.82,853.66,7.84,0.2003
1.038,7250.0,423.05,439.91,16.86,0.1664
1.038,8000.0,121.9,131.64,9.74,0.1372
1.114,5550.0,1699.95,1712.12,12.17,0.2531
1.114,6075.0,1269.9,1277.25,7.35,0.2272
1.114,6575.0,891.01,899.74,8.73,0.2024
1.114,7050.0,569.2,586.01,16.81,0.178
1.114,7550.0,299.0,319.78,20.78,0.1547
1.114,8600.0,43.9,54.05,10.15,0.1298
